DATE,DGS3
2005-02-01,3.5352631578947368
2005-03-01,3.9131818181818182
2005-04-01,3.7895238095238095
2005-05-01,3.7247619047619048
2005-06-01,3.6850000000000000
2005-07-01,3.9140000000000000
2005-08-01,4.0786956521739130
2005-09-01,3.9628571428571429
2005-10-01,4.2905000000000000
2005-11-01,4.4335000000000000
2005-12-01,4.3919047619047619
2006-01-01,4.3515000000000000
2006-02-01,4.6373684210526316
2006-03-01,4.7382608695652174
2006-04-01,4.8852631578947368
2006-05-01,4.9745454545454545
2006-06-01,5.0881818181818182
2006-07-01,5.0700000000000000
2006-08-01,4.8460869565217391
2006-09-01,4.6925000000000000
2006-10-01,4.7219047619047619
2006-11-01,4.6428571428571429
2006-12-01,4.5780000000000000
2007-01-01,4.7942857142857143
2007-02-01,4.7536842105263158
2007-03-01,4.5063636363636364
2007-04-01,4.6014285714285714
2007-05-01,4.6936363636363636
2007-06-01,4.9990476190476190
2007-07-01,4.8238095238095238
2007-08-01,4.3386956521739130
2007-09-01,4.0605263157894737
2007-10-01,4.0109090909090909
2007-11-01,3.3470000000000000
2007-12-01,3.1325000000000000
2008-01-01,2.5114285714285714
2008-02-01,2.1880000000000000
2008-03-01,1.7965000000000000
2008-04-01,2.2327272727272727
2008-05-01,2.6895238095238095
2008-06-01,3.0752380952380952
2008-07-01,2.8727272727272727
2008-08-01,2.6990476190476190
2008-09-01,2.3157142857142857
2008-10-01,1.8645454545454545
2008-11-01,1.5144444444444444
2008-12-01,1.0700000000000000
2009-01-01,1.1340000000000000
2009-02-01,1.3689473684210526
2009-03-01,1.3122727272727273
2009-04-01,1.3166666666666667
2009-05-01,1.3925000000000000
2009-06-01,1.7595454545454545
2009-07-01,1.5481818181818182
2009-08-01,1.6485714285714286
2009-09-01,1.4776190476190476
2009-10-01,1.4638095238095238
2009-11-01,1.3163157894736842
2009-12-01,1.3831818181818182
2010-01-01,1.4921052631578947
2010-02-01,1.4010526315789474
2010-03-01,1.5056521739130435
2010-04-01,1.6381818181818182
2010-05-01,1.3190000000000000
2010-06-01,1.1745454545454545
2010-07-01,0.97857142857142857143
2010-08-01,0.78363636363636363636
2010-09-01,0.74190476190476190476
2010-10-01,0.56850000000000000000
2010-11-01,0.67400000000000000000
2010-12-01,0.99318181818181818182
2011-01-01,1.02750000000000000000
2011-02-01,1.2831578947368421
2011-03-01,1.1743478260869565
2011-04-01,1.2100000000000000
2011-05-01,0.93523809523809523810
2011-06-01,0.71136363636363636364
2011-07-01,0.68000000000000000000
2011-08-01,0.38304347826086956522
2011-09-01,0.35380952380952380952
2011-10-01,0.47100000000000000000
2011-11-01,0.39350000000000000000
2011-12-01,0.38714285714285714286
2012-01-01,0.35800000000000000000
2012-02-01,0.38450000000000000000
2012-03-01,0.50772727272727272727
2012-04-01,0.43190476190476190476
2012-05-01,0.38818181818181818182
2012-06-01,0.38904761904761904762
2012-07-01,0.33095238095238095238
2012-08-01,0.36782608695652173913
2012-09-01,0.33842105263157894737
2012-10-01,0.36904761904761904762
2012-11-01,0.35500000000000000000
2012-12-01,0.35400000000000000000
2013-01-01,0.39047619047619047619
2013-02-01,0.39842105263157894737
2013-03-01,0.38600000000000000000
2013-04-01,0.34045454545454545455
2013-05-01,0.39590909090909090909
2013-06-01,0.57700000000000000000
2013-07-01,0.64409090909090909091
2013-08-01,0.70454545454545454545
2013-09-01,0.77950000000000000000
2013-10-01,0.62772727272727272727
2013-11-01,0.58000000000000000000
2013-12-01,0.68523809523809523810
2014-01-01,0.77952380952380952381
2014-02-01,0.68842105263157894737
2014-03-01,0.81666666666666666667
2014-04-01,0.88476190476190476190
2014-05-01,0.82619047619047619048
2014-06-01,0.90476190476190476190
2014-07-01,0.97363636363636363636
2014-08-01,0.92761904761904761905
2014-09-01,1.0509523809523810
2014-10-01,0.87500000000000000000
2014-11-01,0.96277777777777777778
2014-12-01,1.0640909090909091
2015-01-01,0.89700000000000000000
2015-02-01,0.99157894736842105263
