DATE,DFF
2005-02-01,2.5017857142857143
2005-03-01,2.6290322580645161
2005-04-01,2.7850000000000000
2005-05-01,3.0025806451612903
2005-06-01,3.0356666666666667
2005-07-01,3.2625806451612903
2005-08-01,3.4996774193548387
2005-09-01,3.6230000000000000
2005-10-01,3.7793548387096774
2005-11-01,3.9990000000000000
2005-12-01,4.1570967741935484
2006-01-01,4.2851612903225806
2006-02-01,4.4914285714285714
2006-03-01,4.5893548387096774
2006-04-01,4.7903333333333333
2006-05-01,4.9403225806451613
2006-06-01,4.9910000000000000
2006-07-01,5.2351612903225806
2006-08-01,5.2464516129032258
2006-09-01,5.2546666666666667
2006-10-01,5.2451612903225806
2006-11-01,5.2456666666666667
2006-12-01,5.2380645161290323
2007-01-01,5.2483870967741935
2007-02-01,5.2589285714285714
2007-03-01,5.2567741935483871
2007-04-01,5.2496666666666667
2007-05-01,5.2535483870967742
2007-06-01,5.2540000000000000
2007-07-01,5.2583870967741935
2007-08-01,5.0222580645161290
2007-09-01,4.9380000000000000
2007-10-01,4.7554838709677419
2007-11-01,4.4866666666666667
2007-12-01,4.2445161290322581
2008-01-01,3.9403225806451613
2008-02-01,2.9806896551724138
2008-03-01,2.6103225806451613
2008-04-01,2.2783333333333333
2008-05-01,1.9783870967741935
2008-06-01,2.0010000000000000
2008-07-01,2.0096774193548387
2008-08-01,1.9964516129032258
2008-09-01,1.8116666666666667
2008-10-01,0.96935483870967741935
2008-11-01,0.38766666666666666667
2008-12-01,0.15516129032258064516
2009-01-01,0.15419354838709677419
2009-02-01,0.22214285714285714286
2009-03-01,0.18064516129032258065
2009-04-01,0.15033333333333333333
2009-05-01,0.17741935483870967742
2009-06-01,0.20633333333333333333
2009-07-01,0.15580645161290322581
2009-08-01,0.16032258064516129032
2009-09-01,0.14666666666666666667
2009-10-01,0.11806451612903225806
2009-11-01,0.11900000000000000000
2009-12-01,0.11806451612903225806
2010-01-01,0.11000000000000000000
2010-02-01,0.12642857142857142857
2010-03-01,0.16451612903225806452
2010-04-01,0.19833333333333333333
2010-05-01,0.20064516129032258065
2010-06-01,0.17666666666666666667
2010-07-01,0.18258064516129032258
2010-08-01,0.18935483870967741935
2010-09-01,0.19466666666666666667
2010-10-01,0.19129032258064516129
2010-11-01,0.19433333333333333333
2010-12-01,0.18322580645161290323
2011-01-01,0.16838709677419354839
2011-02-01,0.15678571428571428571
2011-03-01,0.13870967741935483871
2011-04-01,0.09800000000000000000
2011-05-01,0.09387096774193548387
2011-06-01,0.09200000000000000000
2011-07-01,0.07096774193548387097
2011-08-01,0.09580645161290322581
2011-09-01,0.08400000000000000000
2011-10-01,0.07064516129032258065
2011-11-01,0.08100000000000000000
2011-12-01,0.07161290322580645161
2012-01-01,0.08193548387096774194
2012-02-01,0.10379310344827586207
2012-03-01,0.12677419354838709677
2012-04-01,0.13933333333333333333
2012-05-01,0.15580645161290322581
2012-06-01,0.16166666666666666667
2012-07-01,0.15645161290322580645
2012-08-01,0.13225806451612903226
2012-09-01,0.14433333333333333333
2012-10-01,0.15838709677419354839
2012-11-01,0.16066666666666666667
2012-12-01,0.16451612903225806452
2013-01-01,0.14258064516129032258
