DATE,BAMLC0A4CBBBEY
2005-02-01,5.1095000000000000
2005-03-01,5.5022727272727273
2005-04-01,5.6468181818181818
2005-05-01,5.6454545454545455
2005-06-01,5.2590909090909091
2005-07-01,5.3986363636363636
2005-08-01,5.4578260869565217
2005-09-01,5.3895454545454545
2005-10-01,5.7080952380952381
2005-11-01,5.8818181818181818
2005-12-01,5.8804545454545455
2006-01-01,5.6500000000000000
2006-02-01,5.7845000000000000
2006-03-01,5.9230434782608696
2006-04-01,6.1530000000000000
2006-05-01,6.2339130434782609
2006-06-01,6.3740909090909091
2006-07-01,6.3823809523809524
2006-08-01,6.1756521739130435
2006-09-01,6.0240909090909091
2006-10-01,6.0345454545454545
2006-11-01,5.8672727272727273
2006-12-01,5.8347619047619048
2007-01-01,5.9931818181818182
2007-02-01,5.9145000000000000
2007-03-01,5.8052173913043478
2007-04-01,5.9225000000000000
2007-05-01,5.9622727272727273
2007-06-01,6.3186363636363636
2007-07-01,6.3363636363636364
2007-08-01,6.3365217391304348
2007-09-01,6.2261904761904762
2007-10-01,6.1569565217391304
2007-11-01,6.0890909090909091
2007-12-01,6.3070000000000000
2008-01-01,6.0931818181818182
2008-02-01,6.2247619047619048
2008-03-01,6.4325000000000000
2008-04-01,6.5459090909090909
2008-05-01,6.5156521739130435
2008-06-01,6.6890476190476190
2008-07-01,6.8808695652173913
2008-08-01,6.9213636363636364
2008-09-01,7.1386363636363636
2008-10-01,9.1834782608695652
2008-11-01,9.9057142857142857
2008-12-01,9.7886363636363636
2009-01-01,9.1922727272727273
2009-02-01,9.0871428571428571
2009-03-01,9.4977272727272727
2009-04-01,9.1404761904761905
2009-05-01,8.2272727272727273
2009-06-01,7.5168181818181818
2009-07-01,6.9791304347826087
2009-08-01,6.3400000000000000
2009-09-01,5.9313636363636364
2009-10-01,5.7156521739130435
2009-11-01,5.5480952380952381
2009-12-01,5.4809090909090909
2010-01-01,5.2547619047619048
2010-02-01,5.2176190476190476
2010-03-01,5.1265217391304348
2010-04-01,5.0404761904761905
2010-05-01,5.0080952380952381
2010-06-01,5.1231818181818182
2010-07-01,4.8660869565217391
2010-08-01,4.4995454545454545
2010-09-01,4.4368181818181818
2010-10-01,4.2436363636363636
2010-11-01,4.3522727272727273
2010-12-01,4.7195652173913043
2011-01-01,4.6761904761904762
2011-02-01,4.7515000000000000
2011-03-01,4.6156521739130435
2011-04-01,4.5814285714285714
2011-05-01,4.3450000000000000
2011-06-01,4.3086363636363636
2011-07-01,4.3122727272727273
2011-08-01,4.1713043478260870
2011-09-01,4.3422727272727273
2011-10-01,4.6057142857142857
2011-11-01,4.4513636363636364
2011-12-01,4.5481818181818182
2012-01-01,4.4285714285714286
2012-02-01,4.1461904761904762
2012-03-01,4.0882608695652174
2012-04-01,4.0470000000000000
2012-05-01,4.0134782608695652
2012-06-01,4.0368181818181818
2012-07-01,3.8045454545454545
2012-08-01,3.7200000000000000
2012-09-01,3.5776190476190476
2012-10-01,3.3886363636363636
2012-11-01,3.3509090909090909
2012-12-01,3.3540000000000000
2013-01-01,3.3245454545454545
2013-02-01,3.4070000000000000
